year,state_abbrev,state,vep_turnout_rate
2012,US,United States,0.5816013075683
2012,AL,Alabama,0.5889097361374
2012,AK,Alaska,0.5894539684361
2012,AZ,Arizona,0.5290180527899
2012,AR,Arkansas,0.5052600718099
2012,CA,California,0.5520113571036
2012,CO,Colorado,0.7031158454148
2012,CT,Connecticut,0.6089740103145
2012,DE,Delaware,0.6266019763513
2012,DC,District of Columbia,0.6186244811631
2012,FL,Florida,0.6348269518506
2012,GA,Georgia,0.5836126229860
2012,HI,Hawaii,0.4422403688816
2012,ID,Idaho,0.5959615785044
2012,IL,Illinois,0.5887918309487
2012,IN,Indiana,0.5514769223134
2012,IA,Iowa,0.6990356027413
2012,KS,Kansas,0.5700404873618
2012,KY,Kentucky,0.5532772432931
2012,LA,Louisiana,0.6038020654320
2012,ME,Maine,0.6805796831350
2012,MD,Maryland,0.6616330067660
2012,MA,Massachusetts,0.6625157799960
2012,MI,Michigan,0.6465492933545
2012,MN,Minnesota,0.7574796526100
2012,MS,Mississippi,0.5971720025790
2012,MO,Missouri,0.6251280274700
2012,MT,Montana,0.6260749440663
2012,NE,Nebraska,0.6009152953199
2012,NV,Nevada,0.5713330724891
2012,NH,New Hampshire,0.7013470735904
2012,NJ,New Jersey,0.6187843228382
2012,NM,New Mexico,0.5471738646475
2012,NY,New York,0.5316206985531
2012,NC,North Carolina,0.6463143149839
2012,ND,North Dakota,0.6058188319977
2012,OH,Ohio,0.6455580591831
2012,OK,Oklahoma,0.4915721415406
2012,OR,Oregon,0.6323965135110
2012,PA,Pennsylvania,0.5935305922573
2012,RI,Rhode Island,0.5802001426988
2012,SC,South Carolina,0.5658801988383
2012,SD,South Dakota,0.5941684459251
2012,TN,Tennessee,0.5217934094378
2012,TX,Texas,0.4965064348607
2012,UT,Utah,0.5542621615652
2012,VT,Vermont,0.6035709176315
2012,VA,Virginia,0.6635639629125
2012,WA,Washington,0.6407413245553
2012,WV,West Virginia,0.4632806161432
2012,WI,Wisconsin,0.7254227870854
2012,WY,Wyoming,0.5890974605087
2010,US,United States,0.4096554672000
2010,AL,Alabama,0.4302809985108
2010,AK,Alaska,0.5205473314825
2010,AZ,Arizona,0.4093531118683
2010,AR,Arkansas,0.3754547093910
2010,CA,California,0.4404382452261
2010,CO,Colorado,0.5064978567910
2010,CT,Connecticut,0.4585270159602
2010,DE,Delaware,0.4737718951534
2010,DC,District of Columbia,0.2886777100176
2010,FL,Florida,0.4181820020557
2010,GA,Georgia,0.3985147364931
2010,HI,Hawaii,0.3984861993847
2010,ID,Idaho,0.4223274894475
2010,IL,Illinois,0.4243962905942
2010,IN,Indiana,0.3712720228833
2010,IA,Iowa,0.4998228399236
2010,KS,Kansas,0.4173992241020
2010,KY,Kentucky,0.4241429876975
2010,LA,Louisiana,0.3896829998924
2010,ME,Maine,0.5516194660655
2010,MD,Maryland,0.4645069620065
2010,MA,Massachusetts,0.4907058604248
2010,MI,Michigan,0.4450757081616
2010,MN,Minnesota,0.5539250361344
2010,MS,Mississippi,0.3700286480355
2010,MO,Missouri,0.4452625152812
2010,MT,Montana,0.4748794105425
2010,NE,Nebraska,0.3736862717051
2010,NV,Nevada,0.4120072084910
2010,NH,New Hampshire,0.4565118986897
2010,NJ,New Jersey,0.3645864511769
2010,NM,New Mexico,0.4284409550366
2010,NY,New York,0.3550279347472
2010,NC,North Carolina,0.3916634072128
2010,ND,North Dakota,0.4616088880058
2010,OH,Ohio,0.4496268321068
2010,OK,Oklahoma,0.3876910009936
2010,OR,Oregon,0.5262069256613
2010,PA,Pennsylvania,0.4167955029630
2010,RI,Rhode Island,0.4487226435452
2010,SC,South Carolina,0.3967730844393
2010,SD,South Dakota,0.5286140997470
2010,TN,Tennessee,0.3465640169301
2010,TX,Texas,0.3214364353298
2010,UT,Utah,0.3620505776237
2010,VT,Vermont,0.4939560113375
2010,VA,Virginia,0.3870099856486
2010,WA,Washington,0.5314497392590
2010,WV,West Virginia,0.3673061671601
2010,WI,Wisconsin,0.5201134339307
2010,WY,Wyoming,0.4522821516059
2008,US,United States,0.6155481295049
2008,AL,Alabama,0.6078485941742
2008,AK,Alaska,0.6803863463221
2008,AZ,Arizona,0.5668395016760
2008,AR,Arkansas,0.5245395823216
2008,CA,California,0.6092086146424
2008,CO,Colorado,0.7098404685326
2008,CT,Connecticut,0.6664255865403
2008,DE,Delaware,0.6564757196712
2008,DC,District of Columbia,0.6145948416764
2008,FL,Florida,0.6613442666899
2008,GA,Georgia,0.6247245745718
2008,HI,Hawaii,0.4876721532526
2008,ID,Idaho,0.6363144376839
2008,IL,Illinois,0.6362128080556
2008,IN,Indiana,0.5912406207199
2008,IA,Iowa,0.6936180357261
2008,KS,Kansas,0.6204926471081
2008,KY,Kentucky,0.5793602442073
2008,LA,Louisiana,0.6116303665378
2008,ME,Maine,0.7055908672888
2008,MD,Maryland,0.6704503286361
2008,MA,Massachusetts,0.6679570500288
2008,MI,Michigan,0.6918538775409
2008,MN,Minnesota,0.7781439294371
2008,MS,Mississippi,0.6103380334987
2008,MO,Missouri,0.6759460294760
2008,MT,Montana,0.6631500866830
2008,NE,Nebraska,0.6285942765739
2008,NV,Nevada,0.5703854525022
2008,NH,New Hampshire,0.7165401158552
2008,NJ,New Jersey,0.6696475080940
2008,NM,New Mexico,0.6092326903568
2008,NY,New York,0.5900577951671
2008,NC,North Carolina,0.6547070239507
2008,ND,North Dakota,0.6272680686858
2008,OH,Ohio,0.6693536175106
2008,OK,Oklahoma,0.5584548516279
2008,OR,Oregon,0.6769046491736
2008,PA,Pennsylvania,0.6357294139056
2008,RI,Rhode Island,0.6178116641886
2008,SC,South Carolina,0.5801701419853
2008,SD,South Dakota,0.6466261230776
2008,TN,Tennessee,0.5697215276335
2008,TX,Texas,0.5410514089896
2008,UT,Utah,0.5601233063565
2008,VT,Vermont,0.6734236013553
2008,VA,Virginia,0.6702037738406
2008,WA,Washington,0.6658122781929
2008,WV,West Virginia,0.4987013265954
2008,WI,Wisconsin,0.7240084572432
2008,WY,Wyoming,0.6276507252733
2006,US,United States,0.4036512301997
2006,AL,Alabama,0.3745434725818
2006,AK,Alaska,0.5101846217957
2006,AZ,Arizona,0.3891093770171
2006,AR,Arkansas,0.3865295643072
2006,CA,California,0.4021558961911
2006,CO,Colorado,0.4726294928586
2006,CT,Connecticut,0.4655394781943
2006,DE,Delaware,0.4225538363688
2006,DC,District of Columbia,0.2827395140923
2006,FL,Florida,0.3962361493695
2006,GA,Georgia,0.3470389155926
2006,HI,Hawaii,0.3788156414874
2006,ID,Idaho,0.4540054752607
2006,IL,Illinois,0.4022716957453
2006,IN,Indiana,0.3656096423648
2006,IA,Iowa,0.4811194493370
2006,KS,Kansas,0.4360007523581
2006,KY,Kentucky,0.4042552742783
2006,LA,Louisiana,0.2965257842282
2006,ME,Maine,0.5420368482469
2006,MD,Maryland,0.4665153641094
2006,MA,Massachusetts,0.4875640984658
2006,MI,Michigan,0.5212466643680
2006,MN,Minnesota,0.6006442007531
2006,MS,Mississippi,0.2940768341838
2006,MO,Missouri,0.5003969612047
2006,MT,Montana,0.5642398605899
2006,NE,Nebraska,0.4764780498510
2006,NV,Nevada,0.3688981361811
2006,NH,New Hampshire,0.4137587092410
2006,NJ,New Jersey,0.3946775622345
2006,NM,New Mexico,0.4249717205105
2006,NY,New York,0.3486436166409
2006,NC,North Carolina,0.3098040747124
2006,ND,North Dakota,0.4487414139788
2006,OH,Ohio,0.4754347989785
2006,OK,Oklahoma,0.3637143488391
2006,OR,Oregon,0.5247272424992
2006,PA,Pennsylvania,0.4412087603694
2006,RI,Rhode Island,0.5104528714173
2006,SC,South Carolina,0.3464264236034
2006,SD,South Dakota,0.5778724997697
2006,TN,Tennessee,0.4135605840487
2006,TX,Texas,0.3085914733728
2006,UT,Utah,0.3432338673640
2006,VT,Vermont,0.5493520168683
2006,VA,Virginia,0.4401513862527
2006,WA,Washington,0.4731478259142
2006,WV,West Virginia,0.3281393102795
2006,WI,Wisconsin,0.5318578109397
2006,WY,Wyoming,0.5114175211186
2004,US,United States,0.6010069850171
2004,AL,Alabama,0.5720130451990
2004,AK,Alaska,0.6913988769919
2004,AZ,Arizona,0.5414460924332
2004,AR,Arkansas,0.5357204398726
2004,CA,California,0.5878070451756
2004,CO,Colorado,0.6670420256072
2004,CT,Connecticut,0.6497970192612
2004,DE,Delaware,0.6415512120082
2004,DC,District of Columbia,0.5429805488453
2004,FL,Florida,0.6442482872290
2004,GA,Georgia,0.5617166868460
2004,HI,Hawaii,0.4822865224530
2004,ID,Idaho,0.6324255278620
2004,IL,Illinois,0.6149596232289
2004,IN,Indiana,0.5479262220905
2004,IA,Iowa,0.6988109441435
2004,KS,Kansas,0.6158121444869
2004,KY,Kentucky,0.5873159827703
2004,LA,Louisiana,0.6105093250625
2004,ME,Maine,0.7379539416328
2004,MD,Maryland,0.6285328220366
2004,MA,Massachusetts,0.6423640186686
2004,MI,Michigan,0.6662860940404
2004,MN,Minnesota,0.7836635546246
2004,MS,Mississippi,0.5570302616448
2004,MO,Missouri,0.6532863187957
2004,MT,Montana,0.6443086782613
2004,NE,Nebraska,0.6293343715413
2004,NV,Nevada,0.5525288028806
2004,NH,New Hampshire,0.7086182073673
2004,NJ,New Jersey,0.6377472187605
2004,NM,New Mexico,0.5895880333833
2004,NY,New York,0.5802493591488
2004,NC,North Carolina,0.5781274125205
2004,ND,North Dakota,0.6480599197480
2004,OH,Ohio,0.6677872267453
2004,OK,Oklahoma,0.5829794674034
2004,OR,Oregon,0.7200563208595
2004,PA,Pennsylvania,0.6256358218128
2004,RI,Rhode Island,0.5851501322910
2004,SC,South Carolina,0.5295182571088
2004,SD,South Dakota,0.6820827330481
2004,TN,Tennessee,0.5630933005699
2004,TX,Texas,0.5371576732087
2004,UT,Utah,0.5893082044211
2004,VT,Vermont,0.6634225433376
2004,VA,Virginia,0.6060778352504
2004,WA,Washington,0.6691180009333
2004,WV,West Virginia,0.5412550037638
2004,WI,Wisconsin,0.7479525302343
2004,WY,Wyoming,0.6565199878632
2002,US,United States,0.3951062449416
2002,AL,Alabama,0.4153227260726
2002,AK,Alaska,0.5416902136841
2002,AZ,Arizona,0.3585664547583
2002,AR,Arkansas,0.4128455715726
2002,CA,California,0.3605981654923
2002,CO,Colorado,0.4633107200639
2002,CT,Connecticut,0.4230464628953
2002,DE,Delaware,0.4112207102556
2002,DC,District of Columbia,0.3014789036601
2002,FL,Florida,0.4556372229466
2002,GA,Georgia,0.3544330430178
2002,HI,Hawaii,0.4377016055130
2002,ID,Idaho,0.4466480797130
2002,IL,Illinois,0.4143422903618
2002,IN,Indiana,0.3385154302521
2002,IA,Iowa,0.4788145925250
2002,KS,Kansas,0.4404729872361
2002,KY,Kentucky,0.3716208203814
2002,LA,Louisiana,0.3939525786964
2002,ME,Maine,0.5077000691418
2002,MD,Maryland,0.4634039320934
2002,MA,Massachusetts,0.4921008248819
2002,MI,Michigan,0.4445459973631
2002,MN,Minnesota,0.6408530651040
2002,MS,Mississippi,0.3006746765633
2002,MO,Missouri,0.4560773924194
2002,MT,Montana,0.4839826928358
2002,NE,Nebraska,0.3993243736883
2002,NV,Nevada,0.3623600028754
2002,NH,New Hampshire,0.4806032490579
2002,NJ,New Jersey,0.3806681627165
2002,NM,New Mexico,0.3858135561282
2002,NY,New York,0.3611298700735
2002,NC,North Carolina,0.3966816438804
2002,ND,North Dakota,0.4851013436192
2002,OH,Ohio,0.3879824394555
2002,OK,Oklahoma,0.4120816865737
2002,OR,Oregon,0.5077538156033
2002,PA,Pennsylvania,0.3877754142212
2002,RI,Rhode Island,0.4473506826859
2002,SC,South Carolina,0.3694536360010
2002,SD,South Dakota,0.6068409109707
2002,TN,Tennessee,0.3961480637232
2002,TX,Texas,0.3424631303080
2002,UT,Utah,0.3703172222004
2002,VT,Vermont,0.4882467867196
2002,VA,Virginia,0.2898684080311
2002,WA,Washington,0.4178526760309
2002,WV,West Virginia,0.3119773353436
2002,WI,Wisconsin,0.4542755946130
2002,WY,Wyoming,0.5005803156917
2000,US,United States,0.5422462169219
2000,AL,Alabama,0.5159515954989
2000,AK,Alaska,0.6813477591232
2000,AZ,Arizona,0.4562693342856
2000,AR,Arkansas,0.4786084657499
2000,CA,California,0.5570589422806
2000,CO,Colorado,0.5754085164933
2000,CT,Connecticut,0.6190495175992
2000,DE,Delaware,0.5902880530870
2000,DC,District of Columbia,0.4832179814541
2000,FL,Florida,0.5590140048565
2000,GA,Georgia,0.4580426062352
2000,HI,Hawaii,0.4419078067165
2000,ID,Idaho,0.5717025936126
2000,IL,Illinois,0.5623559756184
2000,IN,Indiana,0.4931841536176
2000,IA,Iowa,0.6315866035158
2000,KS,Kansas,0.5561430535024
2000,KY,Kentucky,0.5224294126324
2000,LA,Louisiana,0.5640592320080
2000,ME,Maine,0.6724671203311
2000,MD,Maryland,0.5549822098429
2000,MA,Massachusetts,0.5988383574066
2000,MI,Michigan,0.5985969992796
2000,MN,Minnesota,0.6954810474009
2000,MS,Mississippi,0.4910399328279
2000,MO,Missouri,0.5823651994217
2000,MT,Montana,0.6156863038838
2000,NE,Nebraska,0.5693479907938
2000,NV,Nevada,0.4523906009551
2000,NH,New Hampshire,0.6389702926719
2000,NJ,New Jersey,0.5689658373362
2000,NM,New Mexico,0.4850587985050
2000,NY,New York,0.5510407418034
2000,NC,North Carolina,0.5068140862138
2000,ND,North Dakota,0.6030863990895
2000,OH,Ohio,0.5672237737825
2000,OK,Oklahoma,0.4986341615360
2000,OR,Oregon,0.6487763079206
2000,PA,Pennsylvania,0.5405789236964
2000,RI,Rhode Island,0.5422409756499
2000,SC,South Carolina,0.4696208911649
2000,SD,South Dakota,0.5766092127957
2000,TN,Tennessee,0.4987227948333
2000,TX,Texas,0.4915980342637
2000,UT,Utah,0.5383608490237
2000,VT,Vermont,0.6409509249217
2000,VA,Virginia,0.5404032478479
2000,WA,Washington,0.6069805497452
2000,WV,West Virginia,0.4661538516864
2000,WI,Wisconsin,0.6763605518313
2000,WY,Wyoming,0.5919117087052
